bahubali	बाहुबली
chodi	छोड़ी
jioabhi	जिओभी
bhaaii	भाई
chutiyappaa	चुटियाप्पा
taake	ताके
duaao	दुआओ
chattisgarh	चटिसगढ़
sukma	सुकमा
lagwa	लगवा
umpires	अम्पायर्स
trai	टीआरएआई
jaiso	जैसो
jant	जन्त
chuste	चुसते
akbar	अकबर
darbaar	दरबार
birbal	बीरबल
jhopda	झोपडा
maaka	माका
bhosda	भोसडा
pal	पाल
intzaar	इंतजार
dhamaka	धमाका
kaaram	कारम
namala	नमाला
nalla	नल्ला
aakitaan	अकितान
ton	तों
lokki	लोक्की
dekhde	देखडे
chlegi	चलेगी
yehh	यह
vaah	वाह
mukeshbhai	मुकेशभाई
saall	साल
mujhse	मुझसे
roothkar	रूठकर
kauno	कौनो
firki	फिरकी
surprise	सर्प्राइज़
smjha	समझा
dekhni	देखनी
ehsaan	एहसान
mashup	माशूप
chhu	छु
bhosdiwalo	भोसदीवालो
phek	फेक
maarunga	मारुंगा
kaisi	कैसी
niyukti	नियुक्ति
kho	खो
bij	बीज
lu	लू
patanjali	पतंजलि
takkar	टक्कर
sandipsikdar	संदीपसिकदार
choker	चोकर
khelti	खेलती
vipaksh	विपक्ष
badminton	बैडमिंटन
jiyo	जियो
dharam	धरम
sikh	सिख
isai	ईसाई
aara	आरा
jaaniye	जानिये
sadhna	साधना
pavitra	पवित्रा
sastra	सस्त्र
aadhar	आधार
baazigar	बाजीगर
jeeta	जीता
chauka	चौका
player	प्लेयर
bheje	भेजे
pathake	पठाके
phod	फोड़
zubaan	ज़ुबान
kesree	केसरी
aitbaar	ऐतबार
sehra	सेहरा
dariya	दरिया
okuhara	ओकुहारा
siddh	सिद्ध
bharatia	भारतीय
run	रून
manish	मनीष
pandey	पांडे
disease	डिजीज
kind	काइंड
haro	हरो
haara	हारा
sindhu	सिंधु
chhori	छोरी
pakistanion	पाकिस्तानियों
kheli	खेली
utni	उतनी
paaya	पाया
jeetna	जीतना
janne	जाने
karre	कर्रे
dhara	धारा
bibaranee	बिबरानी
sanjaya	संजय
gold	गोल्ड
congratulations	कॉन्ग्रेचुलेशन्स
shabash	शाबाश
adhaar	आधार
ashutosh	आशुतोष
bakchodi	बकचोडी
hujuri	हुजूरी
pushton	पुष्टों
pahuchne	पहुचने
suda	सुदा
biwiya	बिविया
bataunga	बतौंगा
tatte	तत्ते
khuja	खुजा
ladti	लड़ती
nakaam	नकाम
pados	पड़ोस
auntiyon	औंटियों
samajhta	समझता
viva	विवा
bachaayega	बचायेगा
azaad	आज़ाद
filhaal	फिलहाल
susu	सुसु
haye	हाय
kahana	कहाना
gana	गाना
kisake	किसके
batana	बताना
midiya	मिडिया
chij	चीज
tri	त्रि
dilai	दिलाई
iradon	इरादों
suli	सुली
chadhaya	चढ़ाया
abh	अभ
resignationprasad	रेसिगनटीओनपरसद
doglapan	दोगलापन
jakaar	जकार
dalne	डालने
nana	नाना
nirahu	निरहु
ordinary	आर्डिनरी
niche	नीचे
jankaari	जनकारी
hmesha	हमेशा
dedo	देदो
baachoge	बाचोगे
sardana	सरदाना
irade	इरादे
utarta	उतारता
manaye	मनाये
begairat	बेगैरत
jumlebaj	जुमलेबाज
gajab	गजब
palti	पल्टी
maroge	मरोगे
khudko	खुदको
kitaab	किताब
shaksh	शक्ष
dikhaane	दिखाने
kunal	कुणाल
ladykiller	लदयकीललेर
bayan	बयान
chara	चारा
nanga	नंगा
awasta	अवस्<sp>ता
phirse	फिरसे
chutyapa	छुटयापा
isne	इसने
pakde	पाकडे
chhin	छिन
greebon	ग्रीबों
nagna	नागना
awastha	अवस्था
adhikar	अधिकार
shankar	शंकर
duhaai	दुहाई
padhe	पढ़े
privatisation	पृवातीसटीओन
isteefa	इस्तीफा
doon	दून
damaad	दामाद
dhoond	धूंद
methods	मेथड्स
laakar	लाकर
hataa	हटा
jaydatar	जयदातार
bangkok	बैंगकॉक
nepali	नेपाली
gaand	गांड
choor	चूर
sarkaari	सरकारी
bajrang	बजरंग
dhandaa	धंदा
liyaa	लिया
puche	पूछे
gobar	गोबर
nahane	नहाने
mummy	ममी
krhe	करहे
faayda	फायदा
pahuche	पहुचे
photo	फोटो
achhi	अछी
chaava	चावा
chaavi	चावी
bhang	भांग
guggiji	गुग्गीजी
khabardar	खबरदार
mangi	मांगी
padhna	पढ़ना
usey	उसे
apney	अपने
dusare	दुसरे
digvijay	दिग्विजय
pan	पान
deewar	दीवार
dialog	डायलॉग
amitji	अमितजी
bungla	बंगला
shashiji	शशीजी
nijta	निजता
mohar	मोहर
lahadhi	लहाड़ी
chupa	छुपा
saara	सारा
karaoge	कराओगे
bolonge	बोलोंगे
vyas	व्यास
photoshoot	फोटोशूट
tala	ताला
lagna	लगना
chiye	चिए
islifa	इसलीफा
palat	पलट
duga	दुगा
indians	इंडियन
chalate	चलाते
faisale	फैसले
chutiye	चुटिये
dekhtha	देखथा
keechtha	कीचठा
darwaaja	दरवाजा
kula	कुल
nahaunga	नहौंगा
aarmy	आर्मी
mainey	माइने
nijhta	निझता
taur	तौर
rashtrapati	राष्ट्रपति
bhavan	भवन
naamo	नामो
nishaan	निशान
mitt	मिट
shosha	शोषा
visa	विसा
millay	मिल्ले
gha	घ
gire	गिरे
kabtalak	कब्तलक
chorhte	चोरहते
rahoge	रहोगे
sadme	सदमे
sarma	सरमा
atankwaadi	आतंकवादी
girega	गिरेगा
japanese	जपनेसे
shar	शर
bede	बेडे
kujam	कुजम
baloch	बलोच
tao	ताओ
herani	हेरानी
aaisey	आईसेय
julteey	जुलतीय
jaisey	जैसी
jitwayaa	जीतवाया
aaney	आने
rehtha	रेहथा
shumali	शुमाली
bari	बारी
charh	चारह
fenk	फेंक
bigaad	बिगाड़
havan	हवन
dhamkion	धमकिओन
kharja	खरजा
badalnay	बदलने
elaan	एलान
tabdilian	तबदीलियान
afghanistan	अफगानिस्तान
halak	हलक
parri	पर्री
phuppo	फुप्पो
larka	लरका
mulaqat	मुलाकात
yad	याद
kharb	खर्ब
kuo	कुओ
dekta	डेक्टा
padd	पैड
nazre	नज़रे
tikk	टिक
rahay	रहे
bhaiyaa	भैया
bik	बिक
badho	बढो
bakhi	बखी
najayez	नजायेज
wajood	वजूद
uthe	उठे
nara	नारा
banaege	बनाएगे
dekhane	देखने
january	जनुयरी
kille	किल्ले
virata	वीरता
puraskar	पुरस्कार
sanmanit	संमानित
khyal	ख्याल
waqi	वाकी
nasal	नसल
mazaa	मज़ा
afridi	अफरीदी
retirement	रिटायरमेंट
bulao	बुलाओ
luta	लूटा
chahete	चाहेते
haad	हाद
smjhao	स्मझाओ
zamana	ज़माना
guzar	गुज़र
barma	बर्मा
ilzam	इलज़ाम
sabot	सबोत
martaba	मर्तबा
imran	इमरान
awam	अवाम
mahno	महनो
pechle	पेचले
saloon	सैलून
dehshatgari	दहशतगारी
lar	लार
qabaniyan	काबानियां
nakami	नकामी
daagh	दाघ
lagana	लगाना
bardasht	बरदाश्त
qabil	काबिल
pojte	पोजते
galiyan	गलियाँ
balke	बालके
polices	पोलिकेस
amal	अमल
giya	गिया
gheera	घीरा
sahib	साहिब
kasar	कसर
billion	बिलियन
dollars	डॉलर्स
jhaang	झांग
dehshagardi	देहशगरदी
jisase	जिससे
humhi	हमही
khunnas	खुन्नस
dabake	दाबके
chehra	चेहरा
obama	ओबामा
taarif	तारीफ
ghtya	घटया
language	लैंग्वेज
khulasa	खुलासा
bigar	बिगर
kaan	कान
rakho	रखो
khair	खैर
khudara	खुदरा
apnay	अपने
sattu	सत्तू
pee	पी
yhan	यहाँ
karode	करोडे
anuyayeeyon	अनुययीयों
nyaya	न्याय
mujhay	मुझे
faad	फाड़
zukerburg	ज़ुकरबर्ग
kadak	कडक
supari	सुपारी
kehekar	कहकर
bimari	बिमारी
waqae	वाकाए
popularity	पॉपुलेरिटी
teji	तेजी
chhut	छुट
yarana	याराना
nango	नांगो
islambd	इस्लाम्ब्ड
bhookh	भूख
marega	मरेगा
aukad	औकड
chhoda	छोड़ा
bhuchal	भूचाल
mujhko	मुझको
pehchaan	पहचान
rampal	रामपाल
maharaj	महाराज
krwao	क्रवाव
bikar	बिकार
challenge	चैलेंज
dhokla	ढोकला
swaad	स्वाद
joosne	जूसने
sunata	सुनता
buddhiwapsi	बुद्धिवप्सी
hawan	हवन
yagya	यज्ञ
krwa	क्रवा
qurbani	कुरबानी
jaegi	जाएगी
garnu	गरनू
shayed	शयेद
dhande	धंदे
baniye	बनिये
trumpbhai	तृंपभाई
daring	डेरिंग
chhayi	छायी
fiqr	फिकर
pyaase	प्यासे
bhuke	भुके
duja	दूजा
badshah	बादशाह
dosra	दोसरा
zabardasti	जबरदस्ती
deshwaasiyon	देशवासियों
bhuktenge	भुकतेंगे
ivanka	इवांका
adharit	आधारित
sammelan	सम्मेलन
udghatan	उद्घाटन
cultural	कल्चरल
rkha	रखा
haramkhor	हरामखोर
poty	पोटी
kadu	कडू
naukri	नौकरी
haramkhori	हरामखोरी
dhulai	धुलाई
kumbkaran	कुंबकरण
bap	बाप
shakal	शाकाल
tharey	थारे
bhootnikay	भूतनिकय
buzdil	बुजदिल
khussraay	खुशराय
khusray	खुसराय
rahogee	रहोगी
hairaan	हैरान
itane	इतने
sharif	शरीफ
kie	किए
waqar	वाकर
zaka	ज़ाका
galliyan	गल्लियां
zyda	ज़िदा
chunavi	चुनावी
wadde	वादे
pore	पोर
banaa	बना
loge	लोगे
bhejoge	भेजोगे
pajee	पाजी
apnae	अपनाए
kutta	कुट्टा
marge	मार्ज
war	वार
karge	करगे
bambari	बमबारी
jalan	जलन
aja	आजा
photu	फोटू
khichwate	खिचवाते
ethasik	एथसिक
katora	कटोरा
million	मिलियन
jhatka	झटका
milay	मिले
ziyada	जियादा
terrorism	टेररिज्म
shikast	शिकस्त
naacha	नाचा
naachay	नाचय
zaleel	ज़लील
jalte	जलते
shak	शक
nigah	निगाह
daikh	दैख
jhoote	झूटे
choro	चोरो
usa	यूएसए
samajhdar	समझदार
bewra	बेवरा
chodega	चोदेगा
chehry	चेहरी
farq	फार्क
nyota	न्योता
saayad	सायद
barwadi	बरवादी
isiliye	इसीलिए
sadar	सदर
sangeen	संगीन
elazamon	एलजमों
bochar	बोचार
krdi	क्रदी
maaro	मारो
ghas	घास
ghuske	घुसके
nawaz	नवाज़
dety	डेटी
chatna	चटना
kabr	कब्र
latke	लटके
pacha	पाचा
karle	कार्ले
auqat	औकत
bhot	भोट
aaayegi	आयेगी
giving	गिविंग
bali	बलि
khamoshi	खामोशी
hairat	हैरत
angeezi	अंगीजी
qarar	करार
awaam	अवाम
rozi	रोजी
sehet	सहत
takkay	टक्के
kra	करा
bheek	भीक
mangnay	मंगने
ummah	उम्मा
ktrhy	कत्रही
krskta	क्रस्कता
hoskta	होसकता
bhol	भोल
kharay	खरे
purey	पुरे
banta	बांटा
amriki	अमरीकी
saddar	सद्दार
samjhai	समझाई
dosti	दोस्ती
aqalmand	अकलमंद
jii	जी
gi	गई
shaath	शाथ
balochistan	बलोचिस्तान
uthaiye	उठाइये
junggles	जंगल
smbhalti	स्मभालती
chalen	चलें
humary	हुमारी
iran	ईरान
bolay	बोले
waqai	वाकई
ziada	जियादा
bezti	बेजती
hashar	हशर
khwaja	ख्वाजा
daro	दारो
hojaye	होजाये
begherat	बेघेरत
dobara	दोबारा
musharraf	मुशर्रफ
mily	मिली
krdo	क्रदो
sheikh	शेख
mardun	मरदून
mun	मुन
gata	गाता
kholta	खोलता
mangny	मंगनी
dien	डीएन
ghairat	घैरत
khoof	खूफ
raseeden	रसीदें
rona	रोना
sharum	शरूम
haya	हया
chootiyas	चूटियास
shekal	शेकाल
bandaro	बंदरो
khelaaf	खेलाफ
bhonko	भोंको
defense	डिफेंस
ministry	मिनिस्ट्री
kigye	किगये
jang	जंग
janen	जानें
hamen	हमें
jawaab	जवाब
udher	उधर
bandobast	बंदोबस्त
rahy	रही
bachay	बचाय
saccha	सच्चा
kuta	कुटा
peche	पेचे
chamcha	चमचा
loog	लूग
lambe	लम्बे
desho	देशो
chhipaye	छिपाये
nainsafi	नैनसाफी
dhobi	धोबी
deshwasiyon	देशवासियों
bolega	बोलेगा
dusra	दुसरा
sunega	सुनेगा
becharay	बेचारे
ghuss	घुस
salwaar	सलवार
waliyon	वालियों
humarey	हमारे
mumalik	मुमालिक
dilon	दिलों
jito	जीतो
nikalega	निकलेगा
rajnigandha	रजनीगंधा
paki	पाकी
nasbandi	नसबंदी
bashartey	बशर्ते
pae	पाए
chut	चुट
khisak	खिसक
kehdiya	कहदिया
subha	सुभा
chalejata	चालेजाता
neeche	नीचे
tag	टैग
urdu	उरदू
kroo	क्रू
larty	लारती
rahnaa	रहना
shiddat	शिद्दत
hathon	हाथों
ukhadna	उखड़ना
maksad	मकसद
milane	मिलने
shriman	श्रीमान
piddu	पिड्डू
chalai	चलाई
version	वेरसीओन
siri	सिरी
reh	रह
hamain	हमाइन
pol	पोल
kholte	खोलते
hamaray	हमराय
itnay	इतने
barey	बारे
loootairey	लौटाइरे
choona	चूना
admire	एडमाइर
don	दोन
aese	एसे
qayamat	कयामत
taap	ताप
kohli	कोहली
aaplog	आपलोग
kutto	कुट्टो
shadab	शादाब
praise	प्रेस
kartay	करते
parhti	परहती
banay	बने
prabhuuuu	प्रभुउउउ
rota	रोटा
ghaddar	घड्डर
watan	वाटन
patwariyon	पटवारियों
bhagoori	भगूरी
tuj	तुज
chase	चेज
talwar	तलवार
dhar	धर
goliyon	गोलियों
bouchaar	बौचार
dartaa	दर्ता
viru	वीरू
chakko	चक्को
choukko	चौक्को
dusri	दुसरी
rahke	रहके
hamra	हमरा
raftar	रफ्तार
khelate	खेलते
college	कॉलेज
paka	पका
itra	इत्र
raabta	राब्ता
paaji	पाजी
autographed	ऑटोग्राफ्ड
khelta	खेलता
holi	होली
behtarin	बेहतरीन
margdarshak	मार्गदर्शक
hathi	हाथी
marathi	मराठी
shikhar	शिखर
asani	आसानी
amrapali	आम्रपाली
sachin	सचिन
vayu	वायु
kanika	कनिका
kapoor	कपूर
champion	चैंपियन
vohi	वोही
imaandari	इमानदारी
rose	रोज़
radhika	राधिका
jersey	जर्सी
akash	आकाश
dikhadeti	दिखदेती
pakdna	पकड़ना
namunkin	नामुंकिन
inns	आईएनएस
achcha	अच्छा
jeetne	जीतने
anushka	अनुष्का
maazrat	माजरत
haaregi	हारेगी
samjhoge	समझोगे
charan	चरण
arey	अरे
anhoni	अनहोनी
multan	मुल्तान
sultan	सुल्तान
paji	पाजी
hogaa	होगा
sehwag	सहवाग
chorh	चोरह
khadakpur	खादकपुर
pareshaan	परेशान
bhenchod	भेंचोड
pakadte	पकड़ते
yar	यार
jadeja	जडेजा
rajpoot	राजपूत
bhejna	भेजना
thalaivar	थलैवर
daa	दा
tendulkar	तेंदुलकर
rajesh	राजेश
seshadri	शेषाद्रि
captain	कैप्टेन
kardiya	करदिया
dai	दाई
vaye	वाय
aakha	आखा
laaudai	लाउदई
kyarnu	क्यारनु
chhaina	छैना
balla	बल्ला
pakadna	पकड़ना
seekha	सीखा
baahar	बाहर
chhedega	छेड़ेगा
mukaddama	मुकद्दमा
ranchi	रांची
fikar	फिकर
qwahish	क़्वाहिश
aaur	और
baadal	बादल
daar	दार
arjun	अर्जुन
swachh	स्वच्छ
australia	ऑस्ट्रेलिया
thikane	ठिकाने
rahane	रहाणे
karga	करगा
khilaye	खिलाये
ishq	इश्क़
maja	मजा
padarshan	पदर्शन
hotahai	होताहाई
tykse	टिकसे
stagit	स्टेजिट
lagake	लगाके
fansi	फांसी
akhiri	आखिरी
khwaish	ख्वैश
khiladiyan	खिलाडियाँ
bhoomi	भूमि
poojan	पूजन
haiii	हाई
budhaw	बुधव
khilaoge	खिलाओगे
rakhoge	रखोगे
bhumi	भूमी
marna	मरना
tripathi	त्रिपाठी
karvake	करवाके
khwahish	ख़वाहिश
paazi	पाज़ी
shastri	शास्त्री
sambhalna	सम्भालना
haare	हारे
umpire	अम्पायर
ungli	उंगली
uthayenge	उठायेंगे
glti	गलती
haari	हारी
apnaye	अपनाये
rupay	रूपे
litre	लीटर
dhone	धोने
dhoya	धोया
nahe	नाही
kum	कुम
abhishek	अभिषेक
satam	सतम
bhatt	भट्ट
aajka	आजका
jheethna	झीठना
jheethe	झीठे
rohitu	रोहितु
laet	लेट
jap	जप
hokr	होकर
rohit	रोहित
daba	दबा
legaya	लेगाया
mahi	माही
kisii	किसी
akila	अकीला
dananjaya	दनंजय
bhuvneshwar	भुवनेश्वर
mahendra	महेन्द्र
khu	खू
bhuvi	भुवी
eke	एके
keu	केउ
ekta	एकता
golden	गोल्डन
dekhta	देखता
dekhoonga	देखूंगा
wapas	वापस
chhodne	छोड़ने
harenge	हरेंगे
swami	स्वामी
chodhni	चोधनी
padhi	पढ़ी
maahiya	माहिया
khelega	खेलेगा
kaptaani	कप्तानी
chhodi	छोड़ी
kalti	कालती
gile	गिले
shikwe	शिकवे
taara	तारा
chamakte	चमकते
dhuru	धुरु
taare	तारे
aasmaan	आसमान
star	स्टार
dharti	धरती
pepsi	पेप्सी
daye	दये
uttrakhand	उत्तराखण्ड
khelna	खेलना
bhula	भूला
kaash	काश
sunkar	सुनकर
gambhir	गंभीर
naukari	नौकरी
lagwaya	लगवाया
khasa	खासा
tyag	त्याग
mulayam	मुलायम
tyaagne	त्यागने
rakhu	रखु
lagauga	लगौगा
nibhaya	निभाया
spirit	स्पिरिट
jariye	जरिये
maahi	माही
retire	रिटायर
ekdum	एकदम
raas	रास
unhoni	उन्होनी
thukra	ठुकरा
raina	रैना
rakhana	रखना
kheliye	खेलिये
mukt	मुक्त
gyen	ग्येन
sachme	सचमे
rhaa	रहा
pyaar	प्यार
idol	इडोल
yuvraj	युवराज
srinivasan	श्रीनिवासन
meiyappan	मेयप्पन
bhii	भी
choodi	चूड़ी
netaji	नेताजी
sikhna	सिखना
ussa	उस्सा
sikhe	सीखे
dhoniya	धोनिया
pita	पीता
orchestra	ओरचेसतरा
rahta	राहता
tabe	ताबे
ulti	उल्टी
kholi	खोली
dilya	दिल्या
ajke	अजके
sakshi	साक्षी
dhavan	धवन
khiladi	खिलाड़ी
sandooko	संदूको
khudi	खुदी
buland	बुलंद
pooche	पूछे
raza	रज़ा
rkhna	रखना
smjdaar	समजदार
cheeteh	चीतेह
baaz	बाज
sandeh	संदेह
maat	मात
odi	ओडीआई
marenge	मरेंगे
marwate	मरवाते
itani	इतनी
zabardast	जबरदस्त
shuruaat	शुरुआत
aadat	आदत
vishwash	विश्वाश
chhor	छोर
misbah	मिसबाह
saahab	साहब
sambhaavit	सम्भावित
leejiye	लीजिये
usulo	उसूलो
takrana	टकराना
jarruri	जर्रूरी
yade	यादे
bhuli	भूली
nnhi	न्न्ही
dilaya	दिलाया
parivartan	परिवर्तन
khitaab	खिताब
captainship	कैप्टेनशिप
shaddi	शादी
lodha	लोधा
saaheb	साहेब
sambandh	संबंध
hatke	हटके
hameshaa	हमेशा
jhatke	झटके
jadega	जड़ेगा
kumi	कुमी
rotlu	रोटलु
thakur	ठाकुर
pujara	पुजारा
tali	ताली
bajane	बजाने
lele	लेले
dilaa	दिला
gangaa	गंगा
dheeraj	धीरज
chaandi	चांदी
keemti	कीमती
paseena	पसीना
maahiyaa	माहिया
rula	रूला
nayee	नयी
liyee	लियी
kregee	क्रेगी
raaz	राज
paunga	पौंगा
aaram	आराम
paega	पाएगा
chodni	चोदनी
paged	पेज्ड
indias	इंडियास
sriniwasan	श्रीनिवासन
chela	चेला
gadho	गधो
girate	गिरते
advani	आडवाणी
bengal	बंगाल
gari	गरी
papuva	पापुवा
budhimani	बुधिमानी
madarchod	मदरचोद
khandan	खंडन
baitho	बैठो
angrezi	अंग्रेजी
bhadiya	भदिया
kamjoor	कमजूर
mose	मोज़
rahana	रहना
mahapanchayat	महापंचायत
madhya	मध्य
emaa	एमा
karva	करवा
badee	बड़ी
ummeden	उम्मेदेन
anda	अंडा
akho	आखो
dhul	धुल
dhadam	धादम
gaddha	गड्ढा
khulte	खुलते
bhaisahab	भाईसाहब
relaunch	रेलौंच
hongae	होंगे
tiya	टीया
bolti	बोलती
bhure	भूरे
mehaj	मेहज
rakhdi	रखड़ी
dhabli	धबली
bjate	बजाते
rath	रथ
samhal	सम्हल
mrityu	मृत्यु
kagaar	कगार
ummedwaar	उम्मेद्वार
rajeev	राजीव
gadha	गाधा
bachcha	बच्चा
size	साइज़
porkho	पोरखो
zabab	जबाब
kiziye	कीजिये
mangane	मांगने
paoge	पाओगे
bharti	भारती
ekattha	एकत्था
tareeke	तरीके
khojh	खोझ
soya	सोया
jagaya	जगाया
jagaa	जगा
nani	नानी
susuri	सुसुरी
rajnetik	राजनेटिक
remark	रिमार्क
daalte	डालते
rahulji	राहुलजी
challange	चैलेंज
rashtragan	राष्ट्रगण
sunne	सुन्ने
karbi	कार्बी
huen	हुएन
ei	ई
hatya	हत्या
mitaana	मिटाना
chaahta	चाहता
uga	उगा
detain	डिटेन
patharbaz	पथरबाज
kin	किन
raajpooton	राजपूतों
karara	करारा
bhiwandi	भिवंडी
malegaon	मालेगांव
batati	बताती
jaya	जया
jaana	जाना
rehkr	रहकर
pidito	पीड़ितो
mafi	माफी
inse	इन्स
papua	पापुआ
khichwane	खिचवाने
puchega	पुछेगा
mitron	मित्रों
ganga	गंगा
kushinagar	कुशीनगर
kisaan	किसान
insecticide	इनसेकतीकिदे
jaaun	जाऊँ
atmahatya	आत्महत्य
karlun	करलून
ibobiji	इबोबिजी
naga	नागा
modji	मोदजी
imphal	इम्फाल
karza	करजा
kahiye	कहिये
chhorne	छोरने
dhakka	धक्का
karela	करेला
dharasabhya	धारासभ्य
kari	करी
sakse	सक्से
viral	वायरल
pariwaar	परिवार
sensibility	सेंसिबिलिटी
sathiyane	साथियाने
banaane	बनाने
chodke	छोड़के
gathbandan	गठबंदन
revival	रिवाइवल
hopayega	होपायेगा
dhoka	धोका
rahkar	रहकर
swaarth	स्वार्थ
vyakti	व्यक्ति
vul	वुल
sikhayegi	सिखायेगी
darne	डरने
jaururat	जौरूरत
rab	रब
atke	अटके
nikalkar	निकलकर
luksan	लुकसान
database	डेटाबेस
lokpriya	लोकप्रिया
jnta	जेएनटीए
sunti	सुनती
damdaar	दमदार
varsho	वर्षो
patel	पटेल
shehela	शहला
indirectly	इनडायरेक्टली
punch	पंच
karvayega	करवायेगा
drohiyo	द्रोहियो
banenge	बनेंगे
jaatiwachak	जातिवाचक
shabdh	शब्द
jativad	जातिवाद
rahihe	रहीहे
naii	नई
omar	ओमर
ghandi	गांधी
apase	आपसे
etali	एटली
rekh	रेख
chhore	छोरे
iskeliye	इसकेलिये
while	व्हील
baarathi	बारथी
bajayenge	बजायेंगे
baaja	बाजा
mitr	मित्र
legal	लीगल
kolek	कोलेक
withdrawal	विथद्रावल
siddhart	सिद्धार्त
jhuta	झूटा
thahraoge	ठहराओगे
majburi	मजबूरी
mahatma	महात्मा
majbuti	मजबूती
chukana	चुकाना
darna	दरना
bhencho	भेंचो
bharose	भरोसे
bagalme	बगलमे
desi	देसी
tootenge	टूटेंगे
kaum	कौम
chini	चीनी
terah	तेरह
jaante	जानते
bikne	बिकने
chalao	चलाओ
jaldibaaji	जलदिबाजी
manager	मैनेजर
hahhaa	हहहा
sanskari	संस्कारी
dauure	दौरे
samband	संबंद
purpose	पर्पोज़
satya	सत्य
humhare	हुम्हारे
ladne	लड़ने
bewajh	बेवजह
dharmkithekedari	धर्मकिथेकेदारी
jha	झा
vyapam	व्यापम
gawahon	गवाहों
kahne	कहने
baazi	बाज़ी
umeedo	उम्मीदो
raag	राग
chah	चाह
karwlo	कार्वलो
krtey	कृते
kissano	किसानो
sahii	सही
benchooo	बेंचू
haatho	हाथो
sarey	सारे
rashtrwadi	राष्ट्रवादी
joi	जोई
saalbemisal	सालबेमिसल
fauj	फौज
sudhir	सुधीर
maharathi	महारथी
unake	उनके
bhav	भाव
prarthana	प्रार्थना
aarah	आरह
rathor	राठौर
bhee	भी
ekbar	एकबार
sunle	सुनले
ajtak	अजतक
doctor	डॉक्टर
vyavasay	व्यवसाय
tahit	ताहित
subecha	सुबेचा
rakshak	रक्षक
lubhawan	लुभावन
badhawan	बाधवान
khatare	खतारे
ganti	गन्ती
bajawan	बजवान
tal	ताल
nibhawan	निभावन
badd	बद्द
babbarsher	बब्बरशेर
udaate	उड़ाते
jaunpur	जौनपुर
gudgaon	गुडगांव
timbuktu	टिम्बक्टू
bhaisaab	भाईसाब
khreedo	ख्रीदो
bhagte	भगते
smbhaal	स्मभाल
rae	रे
chize	चीजे
utpat	उत्पत
bharth	भारत
chahiy	चाहिय
global	ग्लोबल
tantra	तंत्र
vyarth	व्यर्थ
kiosk	कियोस्क
lagaygi	लगायगी
kendra	केंद्र
nacho	नाचो
jihad	जिहाद
kabja	कब्जा
larai	लराई
sarkat	सरकत
khudka	खुदका
pehna	पहना
chlta	चलता
charging	चार्जिंग
gaadi	गाड़ी
programme	प्रोग्राम
programm	प्रोग्राम
upbhog	उपभोग
chaska	चस्का
gaumutra	गौमुत्रा
chodne	छोड़ने
jrurat	ज़रूरत
rhegi	रहेगी
prathnidhi	प्रत्निधि
chhatraneta	छत्रनेता
utne	उतने
gundo	गुंडो
udaiye	उदाइये
sawarne	सावर्णे
pakudee	पाकुडी
prashikchand	प्रशिकचंद
aguaee	अगुआई
phale	फाले
samashya	समश्या
sudharo	सुधारो
pkode	पकोडे
karwae	करवाए
nayak	नायक
bideshi	बिदेशी
bail	बैल
industries	इंडस्ट्रीज़
utpad	उत्पाद
sanrakshan	संरक्षण
hamesa	हमेसा
puchata	पूछता
tuze	तुजे
samajhadaar	समझदार
hogai	होगाई
ghabrahat	घबराहट
samvidhaan	संविधान
oopar	ऊपर
ungaliyone	उंगलियोने
aapake	आपके
rita	रीता
talent	टैलेंट
bajaya	बजाया
netayon	नेतयों
dholak	ढोलक
divyango	दिव्यांगो
samajta	समजता
bolunga	बोलूंगा
padoge	पडोगे
modigg	मोडिग
soja	सोजा
sunna	सुन्ना
manlo	मानलो
khilao	खिलाओ
citizen	किटीजेन
ashleel	अश्लील
foto	फोटो
kehlata	कहलाता
dadi	दादी
swarna	स्वर्ण
kartik	कार्तिक
zaroori	ज़रूरी
machaa	मचा
zaara	ज़ारा
karm	कर्म
karei	करे
faal	फाल
ichaa	इचा
hmne	हमने
kdar	कदर
samndar	समन्<sp>दर
bha	भा
mje	मजे
ribon	रिबन
kaatne	काटने
mann	मान
karvata	करवाता
sunaya	सुनाया
zid	जिद
khaana	खाना
laaya	लाया
paddi	पड्डी
azaan	अज़ान
mundwalenge	मुंडवालेंगे
hoge	होगे
devta	देवता
ravan	रावण
haina	हैना
chhoriye	छोरिये
pakistano	पाकिस्तानो
sunn	सुन
niral	निराल
mutna	मुटना
chunni	चुन्नी
radio	रेडियो
firr	फिर
dummy	डमी
tabiyat	तबियत
ummid	उम्मीद
banayeg	बनायेग
ujjvla	उज्ज्वला
labh	लाभ
krhi	करही
aai	आई
jayda	जायदा
middile	मिडिल
pidda	पिड्डा
mahsus	महसूस
paet	पेट
tavi	तवी
koshis	कोशिस
kiraya	किराया
savi	सावी
pra	प्रा
likhte	लिखते
likhwaate	लिखवाते
tutne	टूटने
futne	फुटने
shardi	शारदी
pheli	फेली
kissan	किसान
rajsthan	राजस्थान
bhastacharse	भास्ताचारसे
pidithu	पिडिथु
shanta	शांता
pyarchand	प्यारचंद
mandot	मंडोट
chitamba	चिताम्बा
bhilwada	भिलवाडा
viswaas	विस्वास
rahogey	रहोगेय
mitorn	मिटोर्न
sunoge	सुनोगे
pardesh	परदेश
updesh	उपदेश
najidik	नाजिदिक
banjara	बंजारा
savdhan	सावधान
adhikaro	अधिकारों
